,ID,LATNUM,LONGNUM
66,BJ2012_171,"6,788275","2,083149"
71,BJ2012_176,"6,768652","2,072934"
235,BJ2012_323,"6,926543","1,697304"
236,BJ2012_324,"6,968514","1,706644"
241,BJ2012_329,"6,903976","1,704105"
245,BJ2012_332,"6,929947","1,750467"
247,BJ2012_334,"6,930066","1,730817"
261,BJ2012_347,"6,830345","1,855533"
272,BJ2012_357,"6,925277","1,886919"
279,BJ2012_363,"6,874541","1,868122"
586,BJ2012_702,"7,187682","2,128750"
668,CI2012_100,"6,685151","-6,488674"
671,CI2012_104,"4,765075","-7,500837"
674,CI2012_107,"5,943022","-6,335982"
679,CI2012_111,"4,679129","-7,117418"
686,CI2012_12,"5,779923","-6,577702"
690,CI2012_123,"6,897991","-6,455416"
696,CI2012_129,"6,383130","-3,873341"
697,CI2012_13,"6,370819","-6,492040"
701,CI2012_133,"7,377326","-3,067031"
702,CI2012_134,"6,804543","-5,280965"
704,CI2012_137,"6,728044","-3,484936"
709,CI2012_141,"6,718888","-3,502877"
714,CI2012_147,"6,653226","-3,718633"
721,CI2012_155,"6,027104","-5,951458"
723,CI2012_158,"5,369488","-4,471296"
725,CI2012_16,"6,111719","-4,776144"
731,CI2012_168,"5,231490","-5,080636"
738,CI2012_175,"7,203104","-5,280529"
744,CI2012_180,"6,861869","-6,443716"
746,CI2012_182,"7,534428","-6,324349"
747,CI2012_183,"6,728799","-3,492422"
750,CI2012_187,"7,417962","-6,062225"
755,CI2012_192,"7,235611","-3,766479"
764,CI2012_200,"6,725115","-3,482726"
769,CI2012_207,"4,776960","-6,664161"
770,CI2012_208,"6,508881","-6,263919"
773,CI2012_212,"6,449306","-7,539767"
774,CI2012_213,"6,765132","-3,295243"
779,CI2012_219,"7,554265","-2,987620"
780,CI2012_22,"7,054705","-7,575076"
781,CI2012_220,"6,475356","-7,197594"
789,CI2012_231,"5,309652","-3,960583"
791,CI2012_233,"5,958560","-6,592878"
